Old,New
,1. Body & Physical Sensations
,Positive
,"Somatic Safety (Physical Ease): Feeling comfortable, relaxed, and safe within your own body, without tension or pain."
,"Physical Vitality (Energy Vigor): Feeling physically energetic, strong, and capable in your everyday activities."
,"Deep, Calming Breath: The ability to breathe slowly, deeply, and comfortably, bringing a sense of warmth and relaxation to your whole body."
,"Bodily Awareness (Somatic Connection): Attending to bodily sensations with curiosity and kindness, rather than anxiety or fear."
,Negative
Headache,Headaches: Frequent head pain driven by tension.
,"Faintness or dizziness: Feeling lightheaded, unsteady, or like you might pass out."
,"Pains in heart or chest: Feeling tightness, pressure, or sharp aches in your chest area."
,"Pains in lower back: Aches, stiffness, or discomfort in the bottom part of your back."
Stomach knot,"Knots in your stomach (Nausea or upset stomach): A tight, uneasy, or sick feeling in your gut."
Muscle tension,"Tight or sore muscles: Holding stress in your body, leading to aches, stiffness, or physical pain."
,Trouble getting your breath: Feeling short of breath or struggling to breathe deeply or comfortably.
,"Hot or cold spells: Sudden, uncomfortable waves of feeling very hot (sweating) or very cold (shivering) without a clear physical reason."
,"Numbness or tingling in parts of your body: A ""pins and needles"" sensation or loss of feeling in your hands, feet, arms, or legs."
,"A lump in your throat: A tight, swollen feeling in the throat that makes it feel hard to swallow, even though nothing is actually there."
,Feeling weak in parts of your body: Having less physical strength or energy in specific muscles or limbs.
,"Heavy feelings in your arms or legs: A sensation that your limbs are weighed down, making them feel slow or difficult to move."
,"Thinking something serious is wrong with your body: Constantly worrying that you have a severe, undetected illness or medical condition."
,
,
,"2. Sleep, Appetite & Energy"
,Positive
,"Restorative Sleep: Falling asleep easily and waking up feeling refreshed, rested, and physically recovered."
,"Balanced Nourishment: Eating mindfully and enjoying food, feeling natural hunger and satisfaction in tune with your body’s needs."
,Abundant Energy (Energy to Spare): Having plenty of physical and mental stamina to go about your daily activities with ease.
,Circadian Harmony: Feeling awake and alert during the day and naturally tired and ready for sleep at night.
,Negative
,"Poor appetite: Losing interest in food or not feeling hungry, even when you haven't eaten."
,"Trouble sleeping (Trouble falling asleep): Struggling to fall asleep, waking up constantly, or tossing and turning."
,"Overeating: Eating much more food than your body needs, often as a way to cope with emotions or stress."
,Awakening in the early morning: Waking up hours before you need to and being unable to fall back asleep.
